종목코드,재무제표종류,유동자산_2023,유동자산_2022,유동자산_2021,유동부채_2023,유동부채_2022,유동부채_2021,부채총계_2023,부채총계_2022,부채총계_2021,자본총계_2023,자본총계_2022,자본총계_2021,매출액_2023,매출액_2022,매출액_2021,영업이익_2023,영업이익_2022,영업이익_2021,당기순이익_2023,당기순이익_2022,당기순이익_2021
001550,CFS,67424582740.0,78134326529.0,52932877178.0,54062420610.0,57328641472.0,38106395650.0,66303820470.0,68561445949.0,50521009807.0,52284944063.0,61480314176.0,53257703176.0,114718158323.0,148554917835.0,84597515362.0,-5582069275.0,11907297397.0,3077405830.0,-9037064085.0,8638057676.0,1851220426.0
001560,CFS,56303413670.0,53268101591.0,53855547633.0,8135004143.0,9637922726.0,8628601315.0,10794721777.0,11951004596.0,13575872997.0,95820362967.0,92166871301.0,92893380372.0,85239048510.0,83435241806.0,79747901283.0,7891764655.0,5129135206.0,6604428633.0,10917005887.0,2207065876.0,6095205487.0
001570,CFS,122321859157.0,141599405994.0,195111094332.0,410554172880.0,103934074100.0,127750499072.0,456932096288.0,160842410708.0,197424609095.0,246535275351.0,117757041729.0,117407475607.0,152030952048.0,202836313078.0,217583031941.0,-14608343494.0,7924631740.0,12570727010.0,-60356260825.0,-33310343621.0,13332209382.0
001620,CFS,285073874182.0,233598639427.0,213978423650.0,350135025821.0,301480202607.0,312622955976.0,426184780364.0,373187013643.0,397931073309.0,196052738011.0,180383548030.0,170074037625.0,649418493012.0,614172275827.0,521440974563.0,4502795734.0,-965285127.0,-73285371359.0,8074115473.0,4575114372.0,-23735748807.0
001630,CFS,419678255654.0,398595725433.0,436869440377.0,519907649344.0,399407472213.0,317712126690.0,632518933646.0,577829023460.0,527666927447.0,823484716865.0,798543946094.0,839968237466.0,879780769949.0,908962764139.0,925975076416.0,17005266704.0,-32878294931.0,34410730012.0,40575422161.0,-22663808796.0,25824890405.0
001680,CFS,1757699533283.0,1721004720989.0,1523432149454.0,959788676109.0,997239386623.0,953797737556.0,1990623422846.0,1867569946984.0,1623307568831.0,1343746604632.0,1322626501384.0,1247222536837.0,4107493943805.0,4084090277577.0,3469992522829.0,123716647215.0,139998990821.0,153245195127.0,68563901324.0,82218894929.0,144949591853.0
001685,,,,,,,,,,,,,,,,,,,,,,
001720,,,,,,,,,,,,,,,,,,,,,,
001740,CFS,2371454000000.0,2703209000000.0,3047155000000.0,3908393000000.0,3567813000000.0,3897565000000.0,6954518000000.0,7048547000000.0,7021921000000.0,2155841000000.0,2450712000000.0,2388995000000.0,9133867000000.0,9426160000000.0,10745920000000.0,237283000000.0,177552000000.0,130379000000.0,5459000000.0,90765000000.0,103540000000.0
001750,CFS,,,,,,,1258029081971.0,1043504162865.0,1201053825996.0,489793772704.0,459386901440.0,432344624361.0,999032003491.0,1117144964059.0,874165603240.0,,,,35104172832.0,24033307547.0,79443581011.0
001755,,,,,,,,,,,,,,,,,,,,,,
001770,CFS,59304477357.0,62969604391.0,46687247105.0,33089291565.0,36134907509.0,24180044034.0,33500820712.0,36836001991.0,30435746887.0,51265337416.0,51455970487.0,40600674312.0,106293829767.0,125263992621.0,104770706369.0,672776337.0,14179053153.0,5712545723.0,110299965.0,10819013577.0,5792585283.0
