종목코드,업종명
485690,
485810,
486240,
486290,
486450,
486830,
487130,
487230,
487240,
487340,
487570,21금융
487750,
487910,
487920,
487950,
488080,
488200,
488210,
488290,
488480,
488500,
488720,
488770,
488980,
489000,
489010,
489030,
489250,
489290,
489790,13전기·전자
489860,
490090,
490330,
490480,
490490,
490590,
490600,
491010,
491090,
491220,
491230,
491510,
491610,
491620,
491630,
491700,
491820,
491830,
492500,
493420,
493810,
494180,
494210,
494220,
494300,
494310,
494330,
494340,
494410,
494420,
494670,
494840,
494890,
495040,
495050,
495060,
495230,
495330,
495550,
495750,
495850,
495940,
496020,
496080,
496090,
496120,
496130,
496770,
497510,
497520,
497570,
497780,
497880,
498050,
498180,
498270,
498400,
498410,
498610,
498860,
499150,
499660,
499790,21금융
950210,
J0036221D,
J0113321F,
J0527101G,
J0619701G,
J0669721F,
J0671721G,
J1876601G,
J2086401G,
J3483401G,
Q500061,
Q500063,
Q500067,
Q500068,
Q500069,
Q500071,
Q500072,
Q500085,
Q500086,
Q500091,
Q500093,
Q500094,
