종목코드,종목명,시장구분,매출액,영업이익,경상이익,ROE,시가총액,상장주수,결산월
008930,한미사이언스,KOSPI,3756,336,453,14.71,22569,68391,12.0
008970,KBI동양철관,KOSPI,670,42,17,-0.15,1110,103766,12.0
009070,KCTC,KOSPI,2657,117,110,8.11,1161,30000,12.0
009140,경인전자,KOSPI,111,6,15,7.13,334,1570,12.0
009150,삼성전기,KOSPI,32091,2806,3164,8.82,978487,74693,12.0
009155,삼성전기우,KOSPI,0,0,0,0.0,13546,2906,12.0
009160,SIMPAC,KOSPI,3153,216,32,2.97,2833,65370,12.0
009180,한솔로지스틱스,KOSPI,1649,45,44,10.98,772,28155,12.0
009190,대양금속,KOSPI,552,10,9,0.0,762,43986,12.0
009200,무림페이퍼,KOSPI,3074,2,-70,-4.89,589,41609,12.0
009240,한샘,KOSPI,3994,101,35,10.3,8307,23533,12.0
009270,신원,KOSPI,2808,63,35,0.18,1177,114770,12.0
009290,광동제약,KOSPI,4109,75,66,3.53,2928,49799,12.0
009310,참엔지니어링,KOSPI,226,54,58,-5.52,233,4377,12.0
009320,아진전자부품,KOSPI,365,9,4,13.08,483,49299,12.0
009410,태영건설,KOSPI,3549,177,-50,18.73,4692,297590,12.0
009415,태영건설우,KOSPI,0,0,0,0.0,42,649,12.0
009420,한올바이오파마,KOSPI,400,8,6,-3.16,25153,52240,12.0
009440,KC그린홀딩스,KOSPI,149,-11,1,-31.12,175,23239,12.0
