종목코드,종목명,시장구분,매출액,영업이익,경상이익,ROE,시가총액,상장주수,결산월,현재가,PER,PBR,EPS,BPS,등락률
005610,삼립,KOSPI,8123,-43,-82,-0.53,3171,8629,12.0,38900.0,23.91,0.65,1627.0,59413.0,0.91
005680,삼영전자,KOSPI,392,21,43,0.75,2598,20000,12.0,12920.0,50.47,0.45,256.0,28401.0,-2.12
005690,파미셀,KOSPI,649,47,63,7.59,6426,60004,12.0,10680.0,101.71,7.41,105.0,1442.0,0.85
005720,넥센,KOSPI,9375,676,941,7.79,3100,52543,12.0,6140.0,3.85,0.23,1596.0,26875.0,-0.97
005725,넥센우,KOSPI,0,0,0,0.0,153,3600,12.0,4475.0,0.0,0.0,0.0,0.0,-0.11
005740,크라운해태홀딩스,KOSPI,2616,149,128,4.9,821,14847,12.0,5690.0,4.8,0.24,1185.0,23555.0,0.18
005745,크라운해태홀딩스우,KOSPI,0,0,0,0.0,30,600,12.0,5100.0,0.0,0.0,0.0,0.0,0.0
005750,대림바스,KOSPI,758,56,53,9.12,679,16592,12.0,4180.0,5.21,0.41,802.0,10213.0,-0.59
005800,신영와코루,KOSPI,442,2,5,1.18,1192,9000,12.0,13100.0,18.79,0.3,697.0,43200.0,-0.83
005810,풍산홀딩스,KOSPI,1210,353,355,8.01,4786,14417,12.0,34200.0,6.62,0.4,5163.0,84683.0,-1.16
005820,원림,KOSPI,207,12,17,2.86,301,2297,12.0,13320.0,8.21,0.22,1622.0,61531.0,0.3
005830,DB손해보험,KOSPI,71054,4130,4132,0.0,105914,65500,12.0,164900.0,6.53,0.92,25263.0,179423.0,-1.79
005850,에스엘,KOSPI,13880,1438,1813,13.92,24478,46448,12.0,54500.0,8.14,0.98,6692.0,55423.0,0.37
005870,휴니드,KOSPI,2308,91,137,6.45,609,14116,12.0,4395.0,5.78,0.34,761.0,12774.0,-5.18
005880,대한해운,KOSPI,2778,744,622,7.89,5761,322747,12.0,1816.0,3.25,0.27,559.0,6684.0,-2.73
005930,삼성전자,KOSPI,1338734,572328,588284,19.16,15141861,5846278,12.0,248000.0,37.78,3.88,6564.0,63997.0,-0.6
005935,삼성전자우,KOSPI,0,0,0,0.0,1452291,802371,12.0,177100.0,0.0,0.0,0.0,0.0,0.0
005940,NH투자증권,KOSPI,81720,6367,6501,0.0,109838,369206,12.0,29200.0,10.11,1.16,2888.0,25187.0,0.52
005945,NH투자증권우,KOSPI,0,0,0,0.0,4566,18870,12.0,25050.0,0.0,0.0,0.0,0.0,2.87
005950,이수화학,KOSPI,6359,254,259,-2.28,3313,26294,12.0,13350.0,-10.71,3.65,-1247.0,3655.0,-5.85
005960,동부건설,KOSPI,4346,101,180,9.84,1438,22946,12.0,6720.0,2.99,0.28,2251.0,24189.0,-0.88
005965,동부건설우,KOSPI,0,0,0,0.0,36,225,12.0,16080.0,0.0,0.0,0.0,0.0,-0.62
006040,동원산업,KOSPI,25300,1462,1476,12.7,14654,44140,12.0,35100.0,3.99,0.44,8795.0,79927.0,-0.14
006060,화승인더,KOSPI,4082,85,55,4.8,1327,55320,12.0,2485.0,7.1,0.36,350.0,6972.0,0.81
006090,사조오양,KOSPI,4007,209,164,5.61,778,9422,12.0,8240.0,6.14,0.34,1342.0,24379.0,0.24
006110,삼아알미늄,KOSPI,674,-44,-58,-11.5,4627,15123,12.0,31950.0,-18.88,2.16,-1692.0,14814.0,-6.44
006120,SK디스커버리,KOSPI,32892,1898,3015,8.56,8776,17413,12.0,51500.0,7.86,0.32,6549.0,158509.0,-2.83
006125,SK디스커버리우,KOSPI,0,0,0,0.0,453,1231,12.0,37800.0,0.0,0.0,0.0,0.0,-0.26
006200,한국전자홀딩스,KOSPI,777,-29,-29,-2.09,216,9360,12.0,2310.0,-16.5,0.14,-140.0,16588.0,-0.65
006220,제주은행,KOSPI,933,9,49,2.48,3469,37798,12.0,9450.0,24.42,0.55,387.0,17124.0,2.16
006260,LS,KOSPI,95044,4756,3047,6.84,85800,31200,12.0,301000.0,35.59,1.65,8458.0,182946.0,-1.95
006280,녹십자,KOSPI,4355,117,286,-1.12,13860,11686,12.0,125000.0,-312.5,1.17,-400.0,106673.0,1.05
006340,대원전선,KOSPI,1892,147,141,9.86,9284,78414,12.0,13830.0,122.39,9.06,113.0,1527.0,0.73
006345,대원전선우,KOSPI,0,0,0,0.0,267,2621,12.0,10360.0,0.0,0.0,0.0,0.0,-0.77
006360,GS건설,KOSPI,24005,735,637,1.4,21908,85581,12.0,29500.0,26.99,0.52,1093.0,56462.0,-2.48
006370,대구백화점,KOSPI,126,-38,-72,-21.65,608,10821,12.0,5490.0,-1.83,0.35,-3001.0,15711.0,7.86
006380,카프로,KOSPI,71,-324,338,102.36,6185,168999,12.0,3660.0,12.75,7.01,287.0,522.0,0.0
006400,삼성SDI,KOSPI,35764,-2361,-434,-2.17,335638,80585,12.0,425500.0,-51.11,1.56,-8325.0,272485.0,-0.58
006405,삼성SDI우,KOSPI,0,0,0,0.0,2965,1617,12.0,182100.0,0.0,0.0,0.0,0.0,-1.99
006490,프리티,KOSPI,242,-15,11,-92.67,324,29577,12.0,989.0,-0.58,1.63,-1693.0,607.0,-1.1
